h3,area_km2,land_km2,land_frac,zone,dist_land_km,province,district,gov_dest,gov_tier,lc_tree,lc_shrub,lc_grass,lc_crop,lc_built,lc_bare,lc_snow,lc_water,lc_wetland,lc_mangrove,lc_moss,lc_pixels,elev_mean,elev_max,elev_min,relief_m,population,pa_frac,pa_strict_frac,pa_marine_frac,ramsar_frac,pa_name,pa_category,ecoregion,lifezone,watershed,shallow_frac,dist_coast_km,n_accommodation,n_airport,n_attraction,n_beach,n_dive_surf,n_food_service,n_hotspring,n_marina_port,n_peak,n_reef_natural,n_trail,n_viewpoint,n_visitor_infra,n_waterfall,tt_gateway_h,tt_capital_h,gbif_records,gbif_species,sp_aves,sp_mammalia,sp_amphibia,sp_reptilia,s_forest,s_mangrove,s_wetland,s_shallow,s_relief,nat_features,nat_features_nb,beach_nb,s_nat_features,s_beach,s_shallow_nb,s_mangrove_nb,s_pa_attract,s_pa_cover,s_ramsar,s_species,s_records,s_eco_rare,s_lz_rare,accom_nb,food_nb,infra_nb,trail_nb,marine_ops_nb,airport_nb,s_accom,s_food,s_attract_infra,s_trails,s_marine_ops,s_airport,s_access_gw,s_access_cap,s_pop,NAV,TDL,ACC,BCV,coastal_exposure,s_coastal_exposure,s_protective_eco,s_upper_catchment,s_ws_exposure,RES,pop_neighbourhood,s_labour,is_comarca,s_comarca,s_decentral,JOBS,dist_road_km,dist_settlement_km,dist_colombia_km,advisory_zone,dev_feasible,infeasible_reason,sensitivity,protection_gap,supply_gap,pressure,fit_invest,fit_protect,fit_adapt,fit_manage,pct_fit_protect,pct_fit_invest,pct_fit_adapt,pct_fit_manage,primary,primary_fit,primary_rank,primary_label,secondary,in_gov_dest,eco_class,tourism_class
8666a304fffffff,37.54,37.536,1.0,inland,0.0,Los Santos,Tonosí,Pedasi - Tonosi - Cambutal,priority,0.8099,0.0,0.1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4429,480.0,968.0,156.4,811.6,0.0,0.099,0.0,0.0,0.0,La Tronosa,Reserva Forestal,Isthmian-Pacific moist forests,Tropical Wet Forest,Río Tonosí,0.0,25.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,6.16,219,92,89,3,0,0,63.6,0.0,0.0,0.0,86.8,0,0.5,0.0,23.5,0.0,0.0,0.0,26.2,27.6,0.0,46.7,44.4,51.5,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2,46.5,0.0,41.0,0.0,40.5,42.2,0.0,0.0,0.0,85.4,18.7,40.0,0.0,0.0,0,0.0,53.5,20.8,1.31,2.66,310.48,0,1,,25.3,41.0,41.0,0.0,40.8,50.9,9.2,23.6,48.0,45.0,35.4,46.0,PROTECT,50.9,48.0,Protect / Restore,,1,Dense forest,No mapped supply
8666131a7ffffff,36.92,36.923,1.0,inland,0.0,Darién,Chepigana,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4350,127.5,434.1,31.9,402.2,0.0,0.902,0.139,0.0,0.0,Serranía de Bagre,Corredor Biológico,Isthmian-Atlantic moist forests,Tropical Moist Forest,Río Tucutí,0.0,22.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.47,23.6,6,6,4,1,1,0,96.3,0.0,0.0,0.0,66.3,0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,60.6,0.0,23.5,20.9,27.7,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999972,2.0,0.0,41.0,0.0,1.9,40.6,0.0,0.0,0.0,56.3,16.1,30.1,0.0,0.0,0,0.0,98.0,24.9,21.03,0.39,37.7,1,0,Darien Gap border region (standing travel advisories),29.9,35.3,41.0,0.0,22.8,47.6,6.4,15.3,41.6,11.7,23.1,16.4,PROTECT,47.6,41.6,Protect / Restore,,0,Dense forest,No mapped supply
86661179fffffff,36.84,0.0,0.0,nearshore,1.44,Darién,Pinogana,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4336,312.4,606.7,38.3,568.4,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.36,18.49,302,128,110,14,4,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.599999999999994,5.400000000000006,0.0,0.0,0.0,4.9,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,94.6,24.6,46.54,24.65,0.0,1,0,Darien Gap border region (standing travel advisories),5.8,0.0,0.0,0.0,10.4,21.9,3.1,9.3,12.1,1.1,12.1,5.0,NONE,0.0,0.0,No strong basis,,0,Dense forest,No mapped supply
8666a5cc7ffffff,36.32,30.816,0.848,coastal,0.0,Colón,Colón,Colon - Portobelo - Santa Isabel,priority,0.835,0.0,0.0116,0.0,0.0,0.0,0.0,0.1522,0.0012,0.0,0.0,4304,86.5,224.9,0.0,224.9,867.0,0.724,0.0,0.0,0.0,San Lorenzo,Bosque Protector,Isthmian-Atlantic moist forests,Pre Montane Wet Forest,Ríos entre el Indio y el Chagres,0.165,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,1.12,99696,623,532,59,32,0,65.2,0.0,50.8,44.4,49.4,0,2.5,2.0,60.9,67.5,78.1,35.1,48.2,53.9,0.0,99.0,96.8,27.7,77.3,0.0,0.5,4.5,1.0,1.0,0.0,0.0,24.1,81.7,48.9,66.1,0.0,83.4,82.5,53.0,61.0,31.5,83.1,57.1,0.2,23.7,37.3,88.6,32.1,37.3,14683.0,87.4,0,0.0,17.5,56.0,0.06,5.04,287.08,0,1,,34.3,61.0,29.5,10.5,61.0,62.9,39.0,38.7,88.3,99.2,85.7,96.7,INVEST,61.0,99.2,Invest / Develop,PROTECT; ADAPT; MANAGE,1,Dense forest,Emerging
8666a28b7ffffff,36.93,36.928,1.0,inland,0.0,Comarca Ngäbe Buglé,Kankintú,,,0.9382,0.0,0.0616,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,4369,1006.5,1704.6,454.3,1250.3,0.0,0.0,0.0,0.0,0.0,,,Talamancan montane forests,Lower Montane Rain Forest,Río Cricamola y entre Cricamola y Calovébora,0.0,34.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44,12.13,25,6,0,2,4,0,74.2,0.0,0.0,0.0,97.4,0,2.5,0.0,60.9,0.0,0.0,0.0,0.0,0.0,0.0,23.5,27.9,82.4,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.700000000000003,14.400000000000006,0.0,45.4,0.0,17.2,43.7,0.0,0.0,0.0,91.9,38.0,59.1,0.0,0.0,1,100.0,85.6,40.1,8.21,0.71,451.5,0,0,over 8 h from the nearest tourism gateway,26.2,59.1,45.4,0.0,42.3,59.7,11.4,21.4,78.3,49.5,46.5,37.0,PROTECT,59.7,78.3,Protect / Restore,,0,Dense forest,No mapped supply
866612a0fffffff,36.67,0.0,0.0,nearshore,0.89,Darién,Santa Fe,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,South American Pacific mangroves,,,1.0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52,7.65,260,120,102,17,1,0,0.0,0.0,0.0,97.4,0.0,0,0.5,0.5,23.5,27.6,95.6,92.7,0.0,0.0,0.0,52.6,46.4,92.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.09999999999999,34.2,0.0,50.6,0.0,25.7,62.1,1.46,50.1,92.5,0.0,0.0,68.1,91.0,16.9,0,0.0,65.8,27.4,13.85,4.65,96.38,0,0,no road access within 10 km,37.3,68.1,50.6,0.0,39.7,55.9,10.1,24.0,63.3,42.3,41.1,48.0,PROTECT,55.9,63.3,Protect / Restore,,0,Shallow shelf / reef habitat,No mapped supply
8666b4a4fffffff,36.5,0.0,0.0,nearshore,2.34,Bocas del Toro,Changuinola,,,0.9977,0.0,0.0018,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,4326,853.2,1489.2,306.4,1182.8,0.0,0.0,0.0,0.0,0.0,,,,,Río Sixaola,0.0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,11.11,432,114,60,21,33,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,51.4,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.90000000000001,17.200000000000003,0.0,6.0,0.0,26.8,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,82.8,27.1,24.16,9.87,608.17,0,0,no road access within 10 km,5.6,6.0,6.0,0.0,24.7,28.9,4.5,14.1,20.6,14.4,18.0,13.8,NONE,0.0,0.0,No strong basis,,0,Dense forest,No mapped supply
8666a552fffffff,36.36,36.364,1.0,inland,0.0,Colón,Chagres,,,0.8122,0.0,0.1831,0.0,0.0,0.0,0.0,0.0,0.0046,0.0,0.0,4308,55.9,144.0,1.8,142.2,0.0,0.0,0.0,0.0,0.0,,,Isthmian-Atlantic moist forests,Tropical Wet Forest,Ríos entre el Indio y el Chagres,0.0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.81,3177,350,319,24,7,0,63.9,0.0,73.0,0.0,37.3,0,0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0,0.0,83.1,73.3,27.7,61.3,0.5,0.0,0.0,0.0,0.0,0.0,27.1,0.0,0.0,0.0,0.0,0.0,66.0,73.2,0.0,31.2,9.2,68.5,45.7,0.2,0.0,0.0,66.0,32.1,46.0,5500.0,70.9,0,0.0,26.8,48.3,2.64,0.05,294.6,0,1,,27.4,46.0,22.0,0.0,52.9,57.4,21.9,31.8,69.2,86.4,68.5,87.5,MANAGE,31.8,87.5,Manage / Avoid,,0,Dense forest,Marginal
8666a3b27ffffff,37.27,37.274,1.0,inland,0.0,Los Santos,Los Santos,,,0.1133,0.0,0.8251,0.042,0.0189,0.0005,0.0,0.0002,0.0,0.0,0.0,4403,61.6,182.7,23.9,158.8,4124.0,0.0,0.0,0.0,0.0,,,Panamanian dry forests,Tropical Dry Forest,Ríos entre el Tonosí y La Villa,0.0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,3.64,147,62,47,3,12,0,21.5,0.0,0.0,0.0,39.8,0,0.5,0.0,23.5,0.0,0.0,28.6,0.0,0.0,0.0,40.8,40.9,88.5,92.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0,48.5,0.0,0.0,0.0,0.0,65.6,67.5,85.4,21.9,10.7,66.3,37.0,14.84,0.0,0.0,28.4,81.0,48.0,12516.0,85.4,0,0.0,32.5,55.4,0.1,0.13,283.86,0,1,,22.2,48.0,11.2,0.0,43.6,56.4,35.9,27.1,65.0,54.3,83.5,67.9,NONE,0.0,0.0,No strong basis,,0,Grassland & pasture,Marginal
8666a211fffffff,37.09,37.089,1.0,inland,0.0,Comarca Ngäbe Buglé,Müna,,,0.9353,0.0,0.0647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4387,395.6,969.9,133.9,836.0,0.0,0.0,0.0,0.0,0.0,,,Isthmian-Pacific moist forests,Tropical Wet Forest,Ríos entre el Fonseca y el Tabasará,0.0,15.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,5.71,803,203,201,1,1,0,73.9,0.0,0.0,0.0,87.7,0,1.5,0.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,65.2,59.5,51.5,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,50.1,0.0,47.8,0.0,58.8,46.6,0.0,0.0,0.0,86.3,50.2,65.8,5777.0,71.8,1,100.0,49.9,68.9,1.62,0.43,445.79,0,1,,28.0,65.8,47.8,0.0,62.2,64.1,16.3,29.0,91.2,99.8,59.7,78.9,INVEST,62.2,99.8,Invest / Develop,PROTECT; MANAGE,0,Dense forest,No mapped supply
