cluster_id,name,action,n_cells,area_km2,fit,NAV,TDL,ACC,BCV,RES,JOBS,sensitivity,protection_gap,supply_gap,pa_frac,pa_strict_frac,pa_names,mangrove_frac,tree_frac,shallow_frac,wetland_frac,relief_m,elev_max,gbif_species,gbif_threatened,riv_rp100_pop,cst_rp100_pop,coastal_pop_buffered,coastal_pop_gain,att_total,mangrove_width_m,ws_flood_pop,ws_forest_frac,tt_gateway_h,population,n_accommodation,n_food_service,n_attraction,n_beach,n_trail,n_dive_surf,n_marina_port,is_comarca,dev_feasible_share,dist_access_km,access_mode,provinces,districts,ecoregion,watershed,gov_dest,gov_share,in_gov_plan,selected_by,assets,h3_cells,priority_score,rank,infra_level,infra_label,nature_level,nature_label,n_sites,protect_ha,restore_ha
PR32,Narganá (Chepo),PROTECT,7,252.5,63.0,54.2,11.9,28.1,56.8,25.1,52.7,34.1,54.6,42.3,0.676,0.0,Narganá,0.0223,0.796,0.138,0.0002,394.0,708.0,54,23,529,0,0,0,0.576,72,5548,0.675,8.03,2930,0,0,1,1,0,0,2,1,0.43,6.6,boat or air,Comarca Kuna Yala; Panamá,Chepo; No asignado,Chocó-Darién moist forests,Ríos entre el Mandinga y Armila,,0.0,0,screening,,"866616077ffffff,866616047ffffff,86661605fffffff,866616057ffffff,8666160e7ffffff,86661601fffffff,86661600fffffff",131.0,14,none,No new development,protect,Protect,0,17694,0
PR23,Archipiélago de Las Perlas,PROTECT,6,220.6,62.0,61.5,2.1,27.4,60.2,0.0,31.8,36.2,61.5,59.4,1.0,0.0,Archipiélago de Las Perlas; Isla del Rey,0.0171,0.795,0.193,0.0002,153.0,212.0,195,11,0,0,0,0,0.511,86,0,0.108,7.7,180,0,0,0,8,0,0,0,0,0.67,3.9,road,Panamá,Balboa,Chocó-Darién moist forests,,Archipielago de Las Perlas,1.0,1,screening,,"8666120afffffff,86661208fffffff,86661209fffffff,866612087ffffff,8666120b7ffffff,8666120a7ffffff",120.6,15,none,No new development,protect,Protect,0,11181,0
PR31,Tierras Altas - Renacimiento,PROTECT,5,184.6,66.7,48.9,38.0,61.5,61.2,13.6,59.2,36.7,48.9,16.4,0.001,0.0,Laguna de Volcán,0.0,0.614,0.0,0.0,485.0,1414.0,526,25,0,0,0,0,0.0,0,46583,0.682,1.56,1758,0,0,0,0,1,0,0,0,1.0,0.3,road,Chiriquí,Renacimiento; Tierras Altas,Talamancan montane forests,Río Chiriquí Viejo,Tierras Altas - Renacimiento,1.0,1,screening,,"8666b50d7ffffff,8666b50f7ffffff,8666b50c7ffffff,8666b50cfffffff,8666b5727ffffff",119.5,16,none,No new development,protect,Protect,0,5467,0
MA17,Humedal de Bahía de Panamá,MANAGE,10,363.8,49.8,41.0,19.4,77.1,61.0,15.4,45.6,59.7,15.5,27.4,0.578,0.578,Humedal de Bahía de Panamá,0.1492,0.137,0.405,0.028,34.0,90.0,331,40,4415,541,385,77,0.712,219,87171,0.614,1.03,5196,0,0,0,0,0,0,0,0,1.0,3.5,road,Panamá,Chepo; Panamá,South American Pacific mangroves,Río Bayano,Ciudad de Panama - Taboga,0.4,1,screening,Cerro Griego,"8666a5a77ffffff,8666a5a67ffffff,8666a5a6fffffff,8666a5a47ffffff,8666a5a57ffffff,8666a5a0fffffff,8666a5a1fffffff,8666a5af7ffffff,8666a5a8fffffff,8666a5aafffffff",119.4,17,none,No new development,protect_restore,Protect and restore,0,5737,45
PR34,Kankintú,PROTECT,5,184.7,60.9,47.0,2.4,30.0,52.9,21.4,52.9,31.7,47.0,44.5,0.0,0.0,,0.0,0.882,0.0,0.0,1291.0,2531.0,21,21,0,0,0,0,0.0,0,3315,0.731,6.81,0,0,0,0,0,0,0,0,1,0.8,5.8,road,Comarca Ngäbe Buglé,Kankintú; Mironó,Talamancan montane forests,Río Cricamola y entre Cricamola y Calovébora,,0.0,0,screening,Cerro Jorigobeti; Cerro Jocuatabite,"8666a2d4fffffff,8666a28b7ffffff,8666a2887ffffff,8666a2897ffffff,8666a2c67ffffff",109.1,18,none,No new development,protect,Protect,0,16288,0
IN13,San Lorenzo,INVEST,5,181.5,60.1,61.5,41.2,78.5,63.5,12.9,52.7,38.1,61.5,20.3,0.477,0.0,San Lorenzo; Área Silvestre Protegida (Caribe),0.0057,0.724,0.184,0.0074,166.0,225.0,619,46,4549,0,0,0,0.315,20,39093,0.631,0.72,9714,1,1,7,7,0,0,3,0,1.0,0.7,road,Colón,Chagres; Colón,Isthmian-Atlantic moist forests,Ríos entre el Indio y el Chagres,Colon - Portobelo - Santa Isabel,0.8,1,screening,Almacén de Pólvora; Cuarteles; Alojamiento del Castellano; Hornabeque; Luneta; Batería Superior; Fuerte de San Lorenzo; Playa Sherman; Playa Lajas; Playa Diablillo; Playa Tortuguilla; Shelter Bay Marina,"8666a5ce7ffffff,8666a5cc7ffffff,8666a5cd7ffffff,8666a5cf7ffffff,8666a5c1fffffff",107.7,19,develop,Develop new capacity,protect,Protect,2,2372,0
AD04,David - Pedregal - Alanje,ADAPT,9,333.7,46.2,42.9,80.4,71.2,52.8,21.8,68.8,31.7,42.9,0.0,0.0,0.0,,0.0003,0.344,0.0,0.0003,164.0,341.0,446,32,157314,0,0,0,0.105,16,190712,0.52,0.45,159970,31,221,24,0,53,0,0,0,1.0,0.6,road,Chiriquí,Alanje; David; Dolega,Isthmian-Pacific moist forests,Río Chiriquí,David - Pedregal - Alanje,0.89,1,screening,Torre Campanario de la Catedral de San José; Museo del Barrio y Antigüedades La Casona; Club Activo 20-30; Fort David; Fundación Cultural Gallegos; Antiguo Museo José Domingo de Obaldia; Cristóbal Colón; San José; Río Brujo; Antigua Panaderia Jiménez; Parador Fotográfico David; Virgen,"8666b52e7ffffff,8666b520fffffff,8666b5207ffffff,8666b5257ffffff,8666b52efffffff,8666b52c7ffffff,8666b52d7ffffff,8666b52f7ffffff,8666b521fffffff",106.4,20,upgrade,Upgrade and diversify,maintain,Maintain,5,0,0
IN07,Palo Seco (Jirondai),INVEST,4,147.2,60.9,62.5,13.3,54.8,62.2,34.7,64.0,37.3,62.5,49.2,0.379,0.0,Palo Seco,0.0,0.884,0.0,0.0,639.0,1034.0,537,28,0,0,0,0,0.0,0,40136,0.723,2.03,5141,0,0,1,0,0,0,0,1,1.0,0.8,road,Comarca Ngäbe Buglé,Jirondai,Isthmian-Atlantic moist forests,Ríos entre Changuinola y Cricamola,,0.0,0,screening,NB-444; NB-618,"8666b5a6fffffff,8666b5a67ffffff,8666b5a77ffffff,8666b5a57ffffff",98.0,21,develop,Develop new capacity,protect,Protect,1,13006,0
PR35,Sur de Veraguas,PROTECT,4,150.1,60.6,55.6,67.2,52.4,58.4,0.0,32.6,35.0,55.6,0.0,0.503,0.0,Golfo de Montijo; Sur de Veraguas,0.0118,0.341,0.486,0.0002,168.0,316.0,341,12,0,0,0,0,0.542,90,0,0.45,3.46,361,12,9,1,3,7,0,0,0,1.0,1.0,road,Veraguas,Mariato,Isthmian-Pacific moist forests,Ríos entre el San Pedro y el Tonosí,Pacifico Veraguense - Golfo de Montijo - Santa Catalina - Mariato,0.75,1,screening,Playa Torio; Playa de Malena; Playa Morrillo; Torio Waterfall,"8666a30a7ffffff,8666a30afffffff,8666a308fffffff,8666a3087ffffff",97.5,22,light,Low-impact access only,protect_restore,Protect and restore,2,6824,53
PR37,La Tronosa,PROTECT,6,225.4,50.0,36.0,3.6,39.2,44.0,9.8,34.2,26.4,36.0,32.4,0.462,0.0,La Tronosa,0.0,0.608,0.0,0.0003,705.0,961.0,132,6,1280,0,0,0,0.0,0,2138,0.559,4.81,1280,0,0,0,0,0,0,0,0,1.0,2.1,road,Los Santos,Tonosí,Isthmian-Pacific moist forests,Río Tonosí,Pedasi - Tonosi - Cambutal,1.0,1,government priority coverage,,"8666a332fffffff,8666a3377ffffff,8666a3357ffffff,8666a330fffffff,8666a3307ffffff,8666a3317ffffff",97.3,23,none,No new development,protect,Protect,0,7696,0
